Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;BA;JEQUIE;COM DE DER DE PETROLEO BARRETO LTDA; 34.214.809/0001-38;AVENIDA FRANZ GEDEON;250;;CENTRO;45200-130;GLP;03/11/2025;95,00;;R$ / 13 kg;BRANCA
NE;BA;JEQUIE;STOCK COMERCIO DE DERIVADOS DE PETROLEO LTDA; 13.707.245/0001-03;RUA BRIG SA BITENCOURT;5;;JEQUIEZINHO;45208-087;GLP;03/11/2025;115,00;;R$ / 13 kg;LIQUIGÁS
SE;MG;GOVERNADOR VALADARES;POSTO DA ILHA LTDA; 64.310.709/0001-76;AVENIDA MUCURI;475;;ILHA DOS ARAUJOS;35020-370;GLP;03/11/2025;125,00;;R$ / 13 kg;BRANCA
CO;MS;CAMPO GRANDE;AUTO POSTO SHIMA LTDA; 01.330.663/0001-37;AVENIDA DAS BANDEIRAS;2197;;JARDIM JOQUEI CLUB;79080-001;GLP;03/11/2025;99,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MS;DOURADOS;AUTO POSTO GUAICURUS LTDA; 06.278.577/0001-46;AVENIDA WEIMAR GONCALVES TORRES;490;;JARDIM TROPICAL;79820-080;GLP;03/11/2025;118,00;;R$ / 13 kg;COPA ENERGIA
CO;MS;DOURADOS;POSTO DE SERVICO SANTO ANTONIO LTDA; 00.212.779/0001-09;AVENIDA GUAICURUS;820;;PARQUE ALVORADA;79823-490;GLP;03/11/2025;115,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;IRMAOS TEIXEIRA LTDA; 04.976.718/0003-30;AVENIDA PEDRO ALVARES CABRAL;3800;;SACRAMENTA;66120-620;GLP;03/11/2025;120,00;;R$ / 13 kg;BAHIANA
N;PA;BELEM;SUPERCENTRO POSTOS DE SERVIÇO LTDA; 05.303.828/0001-32;AVENIDA ALMIRANTE BARROSO;1814;B;MARCO;66093-020;GLP;03/11/2025;125,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;DUARTE & SANTOS LTDA; 22.960.942/0002-35;AVENIDA PEDRO ALVARES CABRAL;17;PSG SANTOS DUMONT;TELEGRAFO;66050-400;GLP;03/11/2025;115,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;POSTO GIRASSOL LTDA; 01.087.686/0001-62;RODOVIA AUGUSTO MONTENEGRO;1800;;NOVA MARAMBAIA;66623-590;GLP;03/11/2025;115,00;;R$ / 13 kg;ULTRAGAZ
N;PA;BELEM;POSTO ALIANCA LTDA; 14.685.994/0001-31;RODOVIA ARTHUR BERNARDES;151;ESQ PEDRO A CABRAL;SACRAMENTA;66825-000;GLP;03/11/2025;124,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;PA;BELEM;POSTO UMARIZAL LTDA; 14.082.648/0001-69;RUA JERONIMO PIMENTEL;651;;UMARIZAL;66055-000;GLP;03/11/2025;115,00;;R$ / 13 kg;BRANCA
N;PA;BELEM;AUTO POSTO SENADOR LTDA; 05.319.538/0001-87;AVENIDA SENADOR LEMOS;3606;;SACRAMENTA;66630-505;GLP;03/11/2025;115,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;IRMAOS TEIXEIRA LTDA; 04.976.718/0008-45;TRAVESSA D. ROMUALDO COELHO;301;;UMARIZAL;66630-505;GLP;03/11/2025;120,00;;R$ / 13 kg;BAHIANA
N;PA;BELEM;IRMAOS TEIXEIRA LTDA; 04.976.718/0012-21;AVENIDA PEDRO ALVARES CABRAL;1020;;MARAMBAIA;66615-860;GLP;03/11/2025;120,00;;R$ / 13 kg;BAHIANA
N;PA;BELEM;CM COMERCIO DE COMBUSTIVEIS LTDA; 04.970.059/0001-63;AVENIDA SENADOR LEMOS;2053;;TELEGRAFO;66113-000;GLP;03/11/2025;109,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PE;PAULISTA;POSTO MARIA FARINHA LTDA; 00.626.575/0001-14;AVENIDA DOUTOR CLAUDIO JOSE GUEIROS LEITE;9064;;NOSSA SENHORA DO O;53429-000;GLP;03/11/2025;98,00;;R$ / 13 kg;BRANCA
N;RR;BOA VISTA;ARNOGAS & CIA LTDA; 05.939.533/0003-19;RUA JOAO ALENCAR;696;;AEROPORTO;69312-042;GLP;03/11/2025;133,00;;R$ / 13 kg;FOGAS
S;RS;CAXIAS DO SUL;CAPOANI E RECH COMERCIO DE COMBUSTIVEIS LTDA.; 07.985.128/0001-09;RUA CONDE D'EU;1962;;BELA VISTA;95076-090;GLP;03/11/2025;120,00;;R$ / 13 kg;BRANCA
S;RS;CAXIAS DO SUL;POSTO RAMAR - COMERCIO DE COMBUSTIVEIS LTDA.; 05.379.733/0001-00;AVENIDA SAO LEOPOLDO;940;;SAO LEOPOLDO;95097-350;GLP;03/11/2025;120,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;RS;CAXIAS DO SUL;POSTO TIROL LTDA; 02.321.002/0001-08;ESTRADA BR 116;2570;ESQUINA LUIZ MICHELON;LUIZ MICHELON;95070-070;GLP;03/11/2025;109,00;;R$ / 13 kg;ULTRAGAZ
S;RS;CAXIAS DO SUL;POSTO DE SERVICOS BALDISSERA LTDA; 89.279.996/0001-20;RUA MOREIRA CESAR;686;;SAO JOSE;95034-000;GLP;03/11/2025;115,00;;R$ / 13 kg;BRANCA
S;SC;BLUMENAU;POSTO ITOUPAVAZINHA LTDA; 02.714.732/0001-79;RUA FREDERICO JENSEN;1080;;ITOUPAVAZINHA;89066-301;GLP;03/11/2025;120,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;SC;BRUSQUE;POSTO MIME S.A.; 83.488.882/0006-18;AVENIDA LAURO MULLER;149;;CENTRO;88353-040;GLP;03/11/2025;143,99;;R$ / 13 kg;ULTRAGAZ
SE;SP;SANTOS;COMERCIAL ALVORADA CENTER LTDA; 46.198.081/0001-87;AVENIDA AFFONSO PENNA;55;;BOQUEIRAO;11020-000;GLP;03/11/2025;125,00;;R$ / 13 kg;LIQUIGÁS
SE;SP;SANTOS;AUTO POSTO PEDRO LESSA LIMITADA; 58.186.198/0001-20;AVENIDA PEDRO LESSA;2231;;EMBARE;11025-003;GLP;03/11/2025;139,90;;R$ / 13 kg;ULTRAGAZ
SE;SP;SANTOS;COMERCIO E SERVICOS AUTOMOTIVOS TROPICAL LTDA.; 52.864.790/0001-57;AVENIDA NOSSA SENHORA DE FATIMA;61/63;;CHICO DE PAULA;11085-202;GLP;03/11/2025;125,00;;R$ / 13 kg;LIQUIGÁS
SE;SP;SANTOS;AUTO POSTO JABUCA LTDA; 47.773.510/0001-65;AVENIDA DR WALDEMAR LEAO;280;;JABAQUARA;11013-600;GLP;03/11/2025;128,00;;R$ / 13 kg;ULTRAGAZ
