Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;GASOLINA;02/12/2024;5,42;;R$ / litro;BRANCA
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;ETANOL;02/12/2024;3,59;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;AUTO POSTO SAO FRANCISCO LTDA; 12.706.529/0001-04;RUA SAO FRANCISCO;274;;CENTRO;57300-080;GASOLINA;02/12/2024;5,99;;R$ / litro;VIBRA
N;AP;MACAPA;AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA; 03.659.452/0006-82;RUA CICERO MARQUES DE SOUZA;3134;;NOVO HORIZONTE;68909-803;GASOLINA;02/12/2024;5,83;;R$ / litro;BRANCA
N;AP;MACAPA;AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA; 03.659.452/0003-30;RUA CLAUDOMIRO DE MORAES;1130;;NOVO BURITIZAL;68904-000;GASOLINA;02/12/2024;5,83;;R$ / litro;BRANCA
N;AP;MACAPA;AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA; 03.659.452/0004-10;AVENIDA VIOLETA MONT'ALVERNE MOREIRA;275;;CONGOS;68900-000;GASOLINA;02/12/2024;5,83;;R$ / litro;BRANCA
N;AP;MACAPA;SEPE TIARAJU EMPREENDIMENTOS LTDA; 05.297.501/0002-86;RUA SETENTRIONAL;S/N;ESQUINA COM BEIRA RIO;ARAXÁ;68903-640;GASOLINA;02/12/2024;5,89;;R$ / litro;BRANCA
N;AP;MACAPA;SEPE TIARAJU EMPREENDIMENTOS LTDA; 05.297.501/0002-86;RUA SETENTRIONAL;S/N;ESQUINA COM BEIRA RIO;ARAXÁ;68903-640;GASOLINA ADITIVADA;02/12/2024;6,17;;R$ / litro;BRANCA
N;AP;MACAPA;AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA; 03.659.452/0002-59;RUA HILDEMAR MAIA;900;A;SANTA RITA;68901-310;GASOLINA;02/12/2024;5,83;;R$ / litro;BRANCA
N;AP;MACAPA;COMERCIAL GRAO DE OURO LTDA; 04.707.467/0001-27;RUA HILDEMAR MAIA;1951;;BURITIZAL;68905-160;GASOLINA;02/12/2024;5,83;;R$ / litro;BRANCA
