Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;ES;VILA VELHA;AUTO POSTO VALE ENCANTADO LTDA.; 05.892.261/0001-87;RUA SOBREIRO;395;;RIO MARINHO;29112-112;DIESEL;01/07/2026;6,49;;R$ / litro;VIBRA
SE;ES;VILA VELHA;AUTO POSTO VALE ENCANTADO LTDA.; 05.892.261/0001-87;RUA SOBREIRO;395;;RIO MARINHO;29112-112;DIESEL S10;01/07/2026;6,69;;R$ / litro;VIBRA
SE;ES;VILA VELHA;AUTO POSTO SUCESSO LTDA; 06.073.382/0001-60;AVENIDA JOAO FRANCISCO GONCALVES;746;;COBILANDIA;29111-300;DIESEL S10;01/07/2026;6,86;;R$ / litro;BRANCA
CO;GO;ANAPOLIS;POSTO SAO FRANCISCO LTDA; 25.080.920/0001-98;AVENIDA SAO FRANCISCO DE ASSIS;470;480;JUNDIAI;75110-810;DIESEL S10;01/07/2026;6,99;;R$ / litro;IPIRANGA
CO;GO;RIO VERDE;NOVO RIO COMERCIO DE COMBUSTIVEIS LTDA - EPP; 08.743.267/0001-80;AVENIDA AVENIDA UNIVERSITARIA, QD.08 LOTE 01;168;;RESIDENCIAL POR DO SOL;75908-570;DIESEL;01/07/2026;6,64;;R$ / litro;VIBRA
CO;GO;RIO VERDE;CENTRO COMERCIAL CAMPESTRE E SERVICOS LTDA; 02.167.542/0001-89;RODOVIA BR 060;SN;KM    388;PERIMETRO URBANO;75901-970;DIESEL;01/07/2026;5,95;;R$ / litro;VIBRA
CO;GO;RIO VERDE;GUIMARAES BORGES COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.298.382/0001-44;RUA GERALDO ANDRADE;1842;QUADRA12                  LOTE  17 E 18;JARDIM GOIAS;75903-179;DIESEL;01/07/2026;6,49;;R$ / litro;IPIRANGA
CO;GO;RIO VERDE;GUIMARAES BORGES COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.298.382/0001-44;RUA GERALDO ANDRADE;1842;QUADRA12                  LOTE  17 E 18;JARDIM GOIAS;75903-179;DIESEL S10;01/07/2026;6,99;;R$ / litro;IPIRANGA
CO;GO;VALPARAISO DE GOIAS;SAO BERNARDO SERVICOS AUTOMOTIVOS LTDA; 01.427.744/0001-50;RUA DA BR-040 KM 8,75 QUADRA 4 LOTE E;S/N;;PARQUE SAO BERNARDO;72870-424;DIESEL S10;01/07/2026;6,59;;R$ / litro;BRANCA
NE;MA;BARRA DO CORDA;ANTONIO DE ALMEIDA CHAVES; 10.254.688/0001-90;RUA RIO NEGRO;SN;;TRESIDELA;65950-000;DIESEL S10;01/07/2026;7,29;;R$ / litro;BRANCA
NE;MA;PRESIDENTE DUTRA;N. M. C. DE MELO COMBUSTIVEIS; 07.873.044/0001-75;AVENIDA JOSE OLAVO SAMPAIO;596;;CENTRO;65760-000;DIESEL S10;01/07/2026;6,95;;R$ / litro;BRANCA
NE;MA;PRESIDENTE DUTRA;J. FERNANDO G. DE SÁ; 41.373.283/0001-02;PRACA JOSÉ OTON GONÇALVES;S/N;;CENTRO;65760-000;DIESEL;01/07/2026;6,89;;R$ / litro;BRANCA
NE;MA;PRESIDENTE DUTRA;J. FERNANDO G. DE SÁ; 41.373.283/0001-02;PRACA JOSÉ OTON GONÇALVES;S/N;;CENTRO;65760-000;DIESEL S10;01/07/2026;7,14;;R$ / litro;BRANCA
NE;MA;PRESIDENTE DUTRA;POSTO DE COMBUSTIVEIS BINE SOARES LTDA; 02.682.322/0001-93; BR 226 KM 01;100;;PARANUA;65760-000;DIESEL;01/07/2026;6,89;;R$ / litro;SP
NE;MA;PRESIDENTE DUTRA;POSTO DE COMBUSTIVEIS BINE SOARES LTDA; 02.682.322/0001-93; BR 226 KM 01;100;;PARANUA;65760-000;DIESEL S10;01/07/2026;6,90;;R$ / litro;SP
NE;MA;SAO LUIS;M. E. P. DA COSTA; 08.302.673/0001-08;AVENIDA LOURENCO VIEIRA DA SILVA;98;;COHAPAM;65056-060;DIESEL;01/07/2026;6,98;;R$ / litro;BRANCA
NE;MA;SAO LUIS;M. E. P. DA COSTA; 08.302.673/0001-08;AVENIDA LOURENCO VIEIRA DA SILVA;98;;COHAPAM;65056-060;DIESEL S10;01/07/2026;7,08;;R$ / litro;BRANCA
NE;MA;SAO LUIS;C N M COMERCIO DE COMBUSTIVEIS LTDA; 08.211.052/0001-19;RUA NOSSA SENHORA DA LUZ;1;;ANIL;65057-220;DIESEL;01/07/2026;6,38;;R$ / litro;BRANCA
NE;MA;SAO LUIS;C N M COMERCIO DE COMBUSTIVEIS LTDA; 08.211.052/0001-19;RUA NOSSA SENHORA DA LUZ;1;;ANIL;65057-220;DIESEL S10;01/07/2026;6,78;;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO AMERICANO LTDA; 23.706.245/0002-15;AVENIDA PRESIDENTE MEDICI;10;;SACAVEM;65099-110;DIESEL;01/07/2026;6,69;;R$ / litro;BRANCA
