Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
CO;GO;LUZIANIA;SANTA MARIA DERIVADOS DE PETROLEO LTDA; 37.639.036/0001-20;RODOVIA BR-040;SN;QUADRA178                 LOTE  02 E 03;PARQUE ESTRELA DALVA III;72831-010;DIESEL;01/11/2024;6,49;;R$ / litro;IPIRANGA
CO;GO;LUZIANIA;SANTA MARIA DERIVADOS DE PETROLEO LTDA; 37.639.036/0001-20;RODOVIA BR-040;SN;QUADRA178                 LOTE  02 E 03;PARQUE ESTRELA DALVA III;72831-010;DIESEL S10;01/11/2024;6,59;;R$ / litro;IPIRANGA
NE;RN;PARNAMIRIM;ALTO POSTO PASSA E FICA LTDA; 35.649.219/0006-05;AVENIDA DOUTOR MARIO NEGOCIO;1113;;VALE DO SOL;59143-000;DIESEL;01/11/2024;5,94;;R$ / litro;VIBRA
NE;RN;PARNAMIRIM;ALTO POSTO PASSA E FICA LTDA; 35.649.219/0006-05;AVENIDA DOUTOR MARIO NEGOCIO;1113;;VALE DO SOL;59143-000;DIESEL S10;01/11/2024;5,99;;R$ / litro;VIBRA
NE;RN;PARNAMIRIM;POSTO COHABINAL LTDA; 01.829.334/0001-35;AVENIDA JOAO XXIII;622;;COHABINAL;59140-690;DIESEL S10;01/11/2024;6,05;;R$ / litro;VIBRA
S;SC;CHAPECO;AUTO POSTO MEGA LTDA; 02.764.087/0001-07;RUA MARECHAL DEODORO DA FONSECA;616;D;CENTRO;89801-060;DIESEL S10;01/11/2024;6,19;;R$ / litro;IPIRANGA
S;PR;APUCARANA;M C S F COMBUSTIVEIS LTDA; 09.620.780/0001-47;AVENIDA MINAS GERAIS;2191;;VILA NOVA;86804-000;DIESEL;01/11/2024;6,28;;R$ / litro;BRANCA
S;PR;APUCARANA;M C S F COMBUSTIVEIS LTDA; 09.620.780/0001-47;AVENIDA MINAS GERAIS;2191;;VILA NOVA;86804-000;DIESEL S10;01/11/2024;6,29;;R$ / litro;BRANCA
S;PR;CASCAVEL;M.N.M. COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA; 09.020.402/0001-22;RODOVIA BR 277;S/N;KM    582,4 - L E;AUTODROMO;85803-650;DIESEL;01/11/2024;5,79;;R$ / litro;IPIRANGA
S;PR;CASCAVEL;M.N.M. COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA; 09.020.402/0001-22;RODOVIA BR 277;S/N;KM    582,4 - L E;AUTODROMO;85803-650;DIESEL S10;01/11/2024;5,89;;R$ / litro;IPIRANGA
CO;GO;LUZIANIA;AUTO POSTO DOM VITAL II LTDA; 10.751.904/0001-02;RUA SAO PAULO;S/N;CHACARAS VERA CRUZ        FAZENDA QUINTA GLEBA;CIDADE OSFAYA;72855-621;DIESEL;01/11/2024;5,78;;R$ / litro;BRANCA
