Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AP;MACAPA;SEPE TIARAJU EMPREENDIMENTOS LTDA; 05.297.501/0002-86;RUA SETENTRIONAL;S/N;ESQUINA COM BEIRA RIO;ARAXÁ;68903-640;DIESEL;02/12/2024;6,31;;R$ / litro;BRANCA
N;AP;MACAPA;SEPE TIARAJU EMPREENDIMENTOS LTDA; 05.297.501/0002-86;RUA SETENTRIONAL;S/N;ESQUINA COM BEIRA RIO;ARAXÁ;68903-640;DIESEL S10;02/12/2024;6,32;;R$ / litro;BRANCA
N;AP;MACAPA;AUTO POSTO TERCEIRO MILÊNIO LTDA; 03.199.834/0001-66;RUA MATO GROSSO;430;;PACOVAL;68900-000;DIESEL;02/12/2024;6,99;;R$ / litro;VIBRA
N;AP;MACAPA;AUTO POSTO TERCEIRO MILÊNIO LTDA; 03.199.834/0001-66;RUA MATO GROSSO;430;;PACOVAL;68900-000;DIESEL S10;02/12/2024;7,04;;R$ / litro;VIBRA
NE;BA;ITAMARAJU;CODEPEL -COMERCIO DE DERIVADOS DE PETROLEO LTDA; 05.696.709/0001-97;AVENIDA PERIMENRAL;348;TERREO;CENTRO;45836-000;DIESEL;02/12/2024;5,89;;R$ / litro;BRANCA
NE;BA;ITAMARAJU;CODEPEL -COMERCIO DE DERIVADOS DE PETROLEO LTDA; 05.696.709/0001-97;AVENIDA PERIMENRAL;348;TERREO;CENTRO;45836-000;DIESEL S10;02/12/2024;5,99;;R$ / litro;BRANCA
NE;BA;ITAMARAJU;BENTIVI DERIVADOS DE PETROLEO LTDA; 13.683.818/0001-06;RODOVIA BR 101;S/N;KM 808;SEDE;45836-000;DIESEL;02/12/2024;6,14;;R$ / litro;IPIRANGA
NE;BA;ITAMARAJU;BENTIVI DERIVADOS DE PETROLEO LTDA; 13.683.818/0001-06;RODOVIA BR 101;S/N;KM 808;SEDE;45836-000;DIESEL S10;02/12/2024;6,19;;R$ / litro;IPIRANGA
NE;BA;JACOBINA;RAQUEL DERIVADOS DE PETROLEO LTDA; 04.287.217/0001-85;ESTRADA JACOBINA MIGUEL CALMON;SN;;CATUABA;44700-000;DIESEL;02/12/2024;6,18;;R$ / litro;IPIRANGA
NE;BA;JACOBINA;RAQUEL DERIVADOS DE PETROLEO LTDA; 04.287.217/0001-85;ESTRADA JACOBINA MIGUEL CALMON;SN;;CATUABA;44700-000;DIESEL S10;02/12/2024;6,30;;R$ / litro;IPIRANGA
