Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;DIESEL;01/10/2025;8,15;;R$ / litro;IPIRANGA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;DIESEL S10;01/10/2025;8,17;;R$ / litro;IPIRANGA
NE;BA;BARREIRAS;SANDRA REGINA COMBUSTIVEIS LTDA EM RECUPERACAO JUDICIAL; 03.131.522/0001-10;AVENIDA ANTONIO CARLOS MAGALHAES;606;;JARDIM OURO BRANCO;47802-147;DIESEL;01/10/2025;6,19;;R$ / litro;VIBRA
NE;BA;BARREIRAS;SANDRA REGINA COMBUSTIVEIS LTDA EM RECUPERACAO JUDICIAL; 03.131.522/0001-10;AVENIDA ANTONIO CARLOS MAGALHAES;606;;JARDIM OURO BRANCO;47802-147;DIESEL S10;01/10/2025;6,29;;R$ / litro;VIBRA
NE;BA;SALVADOR;ESTELLA MARIS DERIVADOS DE PETROLEO LTDA; 00.704.922/0001-80;RUA D - PARQUE STELLA MARIS;92;LOTES 05, 06 E 07;STELLA MARIS;41500-060;DIESEL S10;01/10/2025;5,99;;R$ / litro;VIBRA
NE;CE;ITAPIPOCA;SAO PEDRO COM VAREJ COMBUSTIVEIS LTDA.; 01.632.155/0002-94;AVENIDA MONSENHOR TABOSA;2771;;JULHO;62505-650;DIESEL S10;01/10/2025;6,68;;R$ / litro;ALE
NE;CE;JUAZEIRO DO NORTE;MARCIANO COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA; 07.053.903/0004-22;AVENIDA PADRE CICERO;2506;;CAJUINA SAO GERALDO;63022-115;DIESEL S10;01/10/2025;6,65;;R$ / litro;BRANCA
NE;CE;JUAZEIRO DO NORTE;M. T. D. F. PETROLEO LTDA; 03.312.532/0001-52;AVENIDA PADRE CICERO;2200;;SALESIANOS;63050-292;DIESEL S10;01/10/2025;6,65;;R$ / litro;BRANCA
NE;CE;JUAZEIRO DO NORTE;WR PETROLEO E DERIVADOS LTDA; 00.293.343/0001-91;AVENIDA PADRE CICERO;1910;;SALESIANO;63010-020;DIESEL S10;01/10/2025;6,09;;R$ / litro;BRANCA
SE;ES;ARACRUZ;VESCOVI & BITTI LTDA; 36.411.940/0002-00;AVENIDA FLORESTAL;838;;SEGATTO;29192-154;DIESEL;01/10/2025;5,94;;R$ / litro;VIBRA
SE;ES;ARACRUZ;VESCOVI & BITTI LTDA; 36.411.940/0002-00;AVENIDA FLORESTAL;838;;SEGATTO;29192-154;DIESEL S10;01/10/2025;5,99;;R$ / litro;VIBRA
